company,category,applied,dateapplied,response,priority
FANUC,Industrial Robot Manufacturers,false,,, 
KUKA,Industrial Robot Manufacturers,false,,, 
ABB,Industrial Robot Manufacturers,false,,, 
YASKAWA,Industrial Robot Manufacturers,false,,, 
Universal Robots,Industrial Robot Manufacturers,false,,, 
Kawasaki,Industrial Robot Manufacturers,false,,, 
Robust.AI,Warehouse Logistics,false,,, 
Nimble,Warehouse Logistics,false,,, 
Amazon Robotics,Warehouse Logistics,false,,, 
MITRA,Warehouse Logistics,false,,, 
Boston Dynamics,Warehouse Logistics,false,,, 
GreyOrange,Warehouse Logistics,false,,, 
Zebra,Warehouse Logistics,false,,, 
Ambi,Warehouse Logistics,false,,, 
RightHand,Warehouse Logistics,false,,, 
Berkshire Grey,Warehouse Logistics,false,,, 
Fox Robotics,Warehouse Logistics,false,,, 
Strobe,Warehouse Logistics,false,,, 
Geek+,Warehouse Logistics,false,,, 
Vecna,Warehouse Logistics,false,,, 
Rapid Robotics,Warehouse Logistics,false,,, 
Locus,Warehouse Logistics,false,,, 
Fabric,Warehouse Logistics,false,,, 
Plus One,Warehouse Logistics,false,,, 
Dexory,Warehouse Logistics,false,,, 
BrainCorp,Warehouse Logistics,false,,, 
Covariant,Warehouse Logistics,false,,, 
Pickle Robot,Warehouse Logistics,false,,, 
Standard Bots,Warehouse Logistics,false,,, 
Otto Motors,Warehouse Logistics,false,,, 
Syrius,Warehouse Logistics,false,,, 
Tesla,Humanoid Systems,false,,, 
Figure,Humanoid Systems,false,,, 
Boston Dynamics,Humanoid Systems,false,,, 
Fourier,Humanoid Systems,false,,, 
Apptronik,Humanoid Systems,false,,, 
Agility Robotics,Humanoid Systems,false,,, 
PAL Robotics,Humanoid Systems,false,,, 
Skild.AI,Humanoid Systems,false,,, 
Engineered Arts,Humanoid Systems,false,,, 
Sanctuary,Humanoid Systems,false,,, 
DeepRobotics,Humanoid Systems,false,,, 
Enchanted Tools,Humanoid Systems,false,,, 
Kepler,Humanoid Systems,false,,, 
Unitree,Humanoid Systems,false,,, 
Softbank Robotics,Humanoid Systems,false,,, 
Robotis,Humanoid Systems,false,,, 
Reflex,Humanoid Systems,false,,, 
Kyber,Humanoid Systems,false,,, 
Mentee Robotics,Humanoid Systems,false,,, 
Cobot,Humanoid Systems,false,,, 
Gecko Robotics,Construction & Inspection,false,,, 
Urban Machine,Construction & Inspection,false,,, 
MX Robotics,Construction & Inspection,false,,, 
Pronto,Construction & Inspection,false,,, 
Energy Robotics,Construction & Inspection,false,,, 
Canvas,Construction & Inspection,false,,, 
Built Robotics,Construction & Inspection,false,,, 
Arix,Construction & Inspection,false,,, 
Dusty Robotics,Construction & Inspection,false,,, 
Ghost,Construction & Inspection,false,,, 
Cobalt,Construction & Inspection,false,,, 
Toggle Robotics,Construction & Inspection,false,,, 
Charge,Construction & Inspection,false,,, 
Rugged,Construction & Inspection,false,,, 
Cosmic,Construction & Inspection,false,,, 
Kaise,Construction & Inspection,false,,, 
Monarch,Agriculture,false,,, 
Carbon Robotics,Agriculture,false,,, 
Abundant,Agriculture,false,,, 
John Deere,Agriculture,false,,, 
Plenty,Agriculture,false,,, 
AppHarvest,Agriculture,false,,, 
Aigen,Agriculture,false,,, 
Stoutomy,Agriculture,false,,, 
Agrobot,Agriculture,false,,, 
Scythe,Agriculture,false,,, 
Nexus,Agriculture,false,,, 
Blue River,Agriculture,false,,, 
Electric Sheep,Agriculture,false,,, 
Yard,Agriculture,false,,, 
Farm-ng,Agriculture,false,,, 
Verdant,Agriculture,false,,, 
Cuby,Manufacturing,false,,, 
Path Robotics,Manufacturing,false,,, 
UnitX,Manufacturing,false,,, 
FormulaMod,Manufacturing,false,,, 
Bright Machines,Manufacturing,false,,, 
Vention,Manufacturing,false,,, 
Machina Labs,Manufacturing,false,,, 
Starship,Ground-Based Delivery,false,,, 
Cartken,Ground-Based Delivery,false,,, 
Bear Robotics,Ground-Based Delivery,false,,, 
Kiwibot,Ground-Based Delivery,false,,, 
Coco,Ground-Based Delivery,false,,, 
Serve Robotics,Ground-Based Delivery,false,,, 
Navia,Ground-Based Delivery,false,,, 
Ottonomy,Ground-Based Delivery,false,,, 
DroneUp,Aerial Delivery,false,,, 
Zipline,Aerial Delivery,false,,, 
Wing,Aerial Delivery,false,,, 
Matternet,Aerial Delivery,false,,, 
FlyTrex,Aerial Delivery,false,,, 
Wingcopter,Aerial Delivery,false,,, 
Manna,Aerial Delivery,false,,, 
Intuitive,Surgical,false,,, 
Stryker,Surgical,false,,, 
Verb Medical,Surgical,false,,, 
Johnson & Johnson,Surgical,false,,, 
Medtronic,Surgical,false,,, 
Moon Surgical,Surgical,false,,, 
Procept,Surgical,false,,, 
Vicarious,Surgical,false,,, 
Chef,Food Automation,false,,, 
Hyphen,Food Automation,false,,, 
Miso,Food Automation,false,,, 
Matic,Food Automation,false,,, 
iRobot,Food Automation,false,,, 
Nala,Food Automation,false,,, 
Shinkei,Food Automation,false,,, 
Dyson,Home Automation & Cleaning,false,,, 
Shark Ninja,Home Automation & Cleaning,false,,, 
AMP,Recycling,false,,, 
CleanRobotics,Recycling,false,,, 
ZenRobotics,Recycling,false,,, 
Glacier,Recycling,false,,, 
Waste Robotics,Recycling,false,,, 
