Company,Location,Has Massachusetts Office
ABB,Zürich, Switzerland,Yes
Amazon Robotics,North Reading, MA,Yes
MITRA,Cambridge, MA,Yes
Boston Dynamics,Waltham, MA,Yes
RightHand Robotics,Somerville, MA,Yes
Berkshire Grey,Bedford, MA,Yes
Vecna,Waltham, MA,Yes
Locus Robotics,Wilmington, MA,Yes
Pickle Robot,Cambridge, MA,Yes
iRobot,Bedford, MA,Yes
Johnson & Johnson,New Brunswick, NJ,Yes
Medtronic,Dublin, Ireland,Yes
Procept BioRobotics,Redwood City, CA,Yes
Stryker,Kalamazoo, MI,Yes
Moon Surgical,Paris/SF,Yes
Zebra Technologies,Lincolnshire, IL,Yes
Intuitive Surgical,Sunnyvale, CA,Yes
Softbank Robotics,Tokyo, Japan,Yes
GE Healthcare,Chicago, IL,Yes
MassRobotics,Boston, MA,Yes
Teradyne,North Reading, MA,Yes
Analog Devices,Wilmington, MA,Yes
MIT CSAIL,Cambridge, MA,Yes
Vecna Robotics,Waltham, MA,Yes
Aurora Flight Sciences,Cambridge, MA,Yes⏎     
