Company,Category,Applied,Date Applied,Response,Priority,Location,Has Massachusetts Office
FANUC,Industrial Robot Manufacturers,false,,,Rochester Hills, Michigan, USA,No
KUKA,Industrial Robot Manufacturers,false,,,Augsburg, Bavaria, Germany,No
ABB,Industrial Robot Manufacturers,false,,,Zurich, Switzerland,No
YASKAWA,Industrial Robot Manufacturers,false,,,Waukegan, Illinois, USA,No
Universal Robots,Industrial Robot Manufacturers,false,,,Odense, Denmark,Yes
Kawasaki Robotics,Industrial Robot Manufacturers,false,,,Wixom, Michigan, USA,No
Robust.AI,Warehouse Logistics,false,,,San Carlos, California, USA,No
Nimble,Warehouse Logistics,false,,,San Francisco, California, USA,No
Amazon Robotics,Warehouse Logistics,false,,,North Reading, Massachusetts, USA,Yes
MITRA,Warehouse Logistics,false,,,San Francisco, California, USA,No
Boston Dynamics,Warehouse Logistics,false,,,Waltham, Massachusetts, USA,Yes
GreyOrange,Warehouse Logistics,false,,,Roswell, Georgia, USA,No
Zebra,Warehouse Logistics,false,,,Lincolnshire, Illinois, USA,No
Ambi,Warehouse Logistics,false,,,Berkeley, California, USA,No
RightHand,Warehouse Logistics,false,,,Charlestown, Massachusetts, USA,Yes
Berkshire Grey,Warehouse Logistics,false,,,Bedford, Massachusetts, USA,Yes
Fox Robotics,Warehouse Logistics,false,,,Austin, Texas, USA,No
Strobe,Warehouse Logistics,false,,,San Francisco, California, USA,No
Geek+,Warehouse Logistics,false,,,Beijing, China,No
Vecna,Warehouse Logistics,false,,,Waltham, Massachusetts, USA,Yes
Rapid Robotics,Warehouse Logistics,false,,,San Francisco, California, USA,No
Locus,Warehouse Logistics,false,,,Wilmington, Massachusetts, USA,Yes
Fabric,Warehouse Logistics,false,,,Tel Aviv, Israel,No
Plus One,Warehouse Logistics,false,,,San Antonio, Texas, USA,No
Dexory,Warehouse Logistics,false,,,London, United Kingdom,No
BrainCorp,Warehouse Logistics,false,,,San Diego, California, USA,No
Covariant,Warehouse Logistics,false,,,Emeryville, California, USA,No
Pickle Robot,Warehouse Logistics,false,,,Cambridge, Massachusetts, USA,Yes
Standard Bots,Warehouse Logistics,false,,,Brooklyn, New York, USA,No
Otto Motors,Warehouse Logistics,false,,,Kitchener, Ontario, Canada,No
Syrius,Warehouse Logistics,false,,,Shenzhen, China,No
Tesla,Humanoid Systems,false,,,Austin, Texas, USA,No
Figure,Humanoid Systems,false,,,Sunnyvale, California, USA,No
Boston Dynamics,Humanoid Systems,false,,,Waltham, Massachusetts, USA,Yes
Fourier,Humanoid Systems,false,,,Shanghai, China,No
Apptronik,Humanoid Systems,false,,,Austin, Texas, USA,No
Agility Robotics,Humanoid Systems,false,,,Salem, Oregon, USA,No
PAL Robotics,Humanoid Systems,false,,,Barcelona, Spain,No
Skild.AI,Humanoid Systems,false,,,Mountain View, California, USA,No
Engineered Arts,Humanoid Systems,false,,,Falmouth, Cornwall, UK,No
